GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Avionos AEM Foundation Injectors,com.avionos.aem.foundation.injectors.utils,FoundationInjectorUtils,1,87,3,13,0,25,3,11,0,6
Avionos AEM Foundation Injectors,com.avionos.aem.foundation.injectors.impl,EnumInjector,0,31,0,4,0,8,0,6,0,4
Avionos AEM Foundation Injectors,com.avionos.aem.foundation.injectors.impl,InheritInjector,14,85,3,9,2,22,3,10,1,6
Avionos AEM Foundation Injectors,com.avionos.aem.foundation.injectors.impl,LinkInjector.LinkAnnotationProcessor,10,0,0,0,4,0,2,0,2,0
Avionos AEM Foundation Injectors,com.avionos.aem.foundation.injectors.impl,ComponentInjector,47,113,12,18,13,41,9,12,1,5
Avionos AEM Foundation Injectors,com.avionos.aem.foundation.injectors.impl,ResourceResolverAdaptableInjector,0,27,1,3,0,10,1,4,0,3
Avionos AEM Foundation Injectors,com.avionos.aem.foundation.injectors.impl,ReferenceInjector.ReferenceAnnotationProcessor,10,0,0,0,4,0,2,0,2,0
Avionos AEM Foundation Injectors,com.avionos.aem.foundation.injectors.impl,InheritInjector.InheritAnnotationProcessor,10,0,0,0,4,0,2,0,2,0
Avionos AEM Foundation Injectors,com.avionos.aem.foundation.injectors.impl,ValueMapFromRequestInjector,0,28,1,5,0,7,1,5,0,3
Avionos AEM Foundation Injectors,com.avionos.aem.foundation.injectors.impl,ContentPolicyInjector,41,0,4,0,14,0,7,0,5,0
Avionos AEM Foundation Injectors,com.avionos.aem.foundation.injectors.impl,ImageInjector.ImageAnnotationProcessor,10,0,0,0,4,0,2,0,2,0
Avionos AEM Foundation Injectors,com.avionos.aem.foundation.injectors.impl,TagInjector,14,68,3,9,2,19,3,7,1,3
Avionos AEM Foundation Injectors,com.avionos.aem.foundation.injectors.impl,ImageInjector,104,5,22,0,24,2,14,2,3,2
Avionos AEM Foundation Injectors,com.avionos.aem.foundation.injectors.impl,AbstractComponentResourceInjector,0,42,0,0,0,12,0,4,0,4
Avionos AEM Foundation Injectors,com.avionos.aem.foundation.injectors.impl,ModelListInjector,0,77,3,11,0,21,3,8,0,4
Avionos AEM Foundation Injectors,com.avionos.aem.foundation.injectors.impl,TagInjector.TagAnnotationProcessor,10,0,0,0,4,0,2,0,2,0
Avionos AEM Foundation Injectors,com.avionos.aem.foundation.injectors.impl,LinkInjector,28,62,3,5,4,13,4,7,2,5
Avionos AEM Foundation Injectors,com.avionos.aem.foundation.injectors.impl,AbstractTypedComponentResourceInjector,0,58,0,2,0,16,0,5,0,4
Avionos AEM Foundation Injectors,com.avionos.aem.foundation.injectors.impl,ReferenceInjector,32,105,5,15,7,29,5,11,1,5
